urn,name,address1,address2,town,postcode,p8mea
143846,Meridian High School,Fairchildes Avenue,New Addington,Croydon,CR0 0AH,-0.7
137754,Norbury High School for Girls,Kensington Avenue,,Thornton Heath,CR7 8BT,0.27
140209,Oasis Academy Arena,Albert Road,South Norwood,London,SE25 4QL,-0.5
135654,Oasis Academy Coulsdon,Homefield Road,Old Coulsdon,Croydon,CR5 1ES,-0.15
135968,Oasis Academy Shirley Park,Shirley Road,,Croydon,CR9 7AL,-0.07
142040,Orchard Park High School,Orchard Way,Shirley,Croydon,CR0 7NJ,0.37
136203,The Quest Academy,Farnborough Avenue,,South Croydon,CR2 8HD,-0.35
138178,Riddlesdown Collegiate,Honister Heights,,Purley,CR8 1EX,0.14
138221,St Joseph's College,Beulah Hill,,London,SE19 3HL,0.04
101814,St Mary's Catholic High School,Woburn Road,,Croydon,CR9 2EE,0.29
137772,Shirley High School Performing Arts College,Shirley Church Road,,Croydon,CR0 5EF,-0.51
101821,Thomas More Catholic School,Russell Hill Road,,Purley,CR8 2XP,-0.13
138187,Woodcote High School,Meadow Rise,,Coulsdon,CR5 2EH,-0.07
145724,Ada Lovelace Church of England High School,Park View Road,Ealing,London,W5 2JX,1.4
134369,Alec Reed Academy,Bengarth Road,,Northolt,UB5 5LQ,0.24
146318,Ark Acton Academy,Gunnersbury Lane,Acton,London,W3 8EY,0.2
101939,Brentside High School,Greenford Avenue,Hanwell,London,W7 1JJ,-0.04
101934,The Cardinal Wiseman Catholic School,Greenford Road,,Greenford,UB6 9AW,0.83
145348,Dormers Wells High School,Dormers Wells Lane,,Southall,UB1 3HZ,0.63
137221,Drayton Manor High School,Drayton Bridge Road,Hanwell,London,W7 1EU,0.65
142654,Ealing Fields High School,Little Ealing Lane,Ealing,London,W5 4EJ,1.3
101941,The Ellen Wilkinson School for Girls,Queen's Drive,Acton,London,W3 0HW,0.97
131310,Elthorne Park High School,Westlea Road,Hanwell,London,W7 2AH,0.49
137729,Featherstone High School,11 Montague Waye,,Southall,UB2 5HF,0.6
